,Gender2,Gender3,CountC,CountV,Start,End,start_letter,end_letter,plu_pattern,aug_vowel,source,derived_cat,semantic_cat,human,animate,semantic
92,1,1,3,0,1,1,14,14,1,0,3,12,1,0,0,0
93,0,0,5,0,1,1,9,13,0,0,0,12,5,0,0,16
94,1,1,4,2,1,1,21,13,1,0,3,12,3,1,1,14
95,1,2,3,2,1,1,1,2,0,0,3,3,5,1,1,2
96,1,1,3,1,1,1,2,7,3,0,3,1,5,0,0,2
97,1,1,2,2,1,0,2,16,1,0,3,12,1,0,0,3
98,1,1,4,1,1,1,22,9,1,0,3,5,1,0,0,4
99,0,0,2,1,1,1,8,13,0,0,0,12,0,0,0,12
100,1,1,4,1,1,1,21,2,3,0,0,12,5,0,0,3
101,1,1,2,1,1,0,4,0,2,0,3,12,1,0,0,12
102,1,2,3,1,1,1,21,2,1,0,3,12,5,0,1,1
103,1,2,4,1,1,1,1,21,0,0,3,3,5,0,1,18
104,1,2,4,1,1,1,8,2,0,0,3,3,5,0,1,18
105,1,1,4,2,1,0,20,16,1,0,3,12,1,0,0,11
106,1,1,3,2,1,0,1,16,1,0,2,12,1,0,0,11
107,1,1,4,1,1,1,18,13,3,0,3,12,5,0,0,19
108,1,1,3,2,1,0,1,0,2,0,3,12,1,0,0,3
109,1,1,3,2,1,0,1,0,2,0,3,12,1,0,0,3
110,1,1,4,1,1,1,3,9,0,0,3,12,1,0,0,3
111,1,1,4,1,1,1,19,14,1,0,3,12,1,0,0,11
112,1,2,4,1,1,1,19,10,0,0,0,12,5,1,1,18
113,1,1,3,2,1,1,8,7,0,0,3,12,1,0,0,12
114,0,0,4,1,1,1,24,15,0,0,3,12,0,0,0,12
115,1,1,3,1,1,1,14,3,0,0,3,5,5,0,0,2
116,1,2,4,1,1,1,1,12,0,0,3,3,5,1,1,18
117,1,1,4,1,1,1,9,7,0,0,3,12,5,0,0,13
118,1,1,4,1,1,1,10,13,0,0,3,12,5,0,0,13
119,1,2,4,2,1,1,3,7,0,0,3,3,5,1,1,5
120,1,2,3,1,1,1,13,1,0,0,3,12,5,1,1,9
121,1,1,3,2,1,0,3,6,3,0,3,1,5,0,0,5
122,1,1,4,1,1,1,20,13,1,0,3,12,1,0,0,2
123,1,2,4,1,1,1,3,2,0,0,3,12,5,0,1,2
124,1,1,4,2,1,1,12,10,0,0,3,12,1,0,0,12
125,1,2,4,1,1,1,4,18,0,0,3,12,5,1,1,7
126,1,2,4,1,1,1,15,10,0,0,3,12,5,1,1,7
127,1,2,4,1,1,1,15,3,0,0,3,12,5,1,1,10
128,1,1,2,2,1,0,19,6,0,0,0,12,5,0,1,1
129,1,2,3,1,1,0,10,6,2,0,0,3,5,1,1,16
130,1,2,4,2,1,0,10,6,2,0,0,3,5,1,1,16
131,1,1,4,2,1,0,11,16,3,0,3,1,5,0,0,11
132,1,1,3,2,1,0,2,16,3,0,3,1,5,0,0,11
133,1,2,3,1,1,0,10,0,2,0,3,3,5,1,1,1
134,1,1,3,2,1,1,1,11,1,0,2,12,1,0,0,6
135,1,1,3,0,1,1,1,4,2,0,3,12,5,0,0,3
136,1,1,4,0,1,1,14,9,1,0,3,12,1,0,0,6
137,1,1,3,1,1,0,18,16,3,0,3,12,5,0,0,0
138,1,2,3,2,1,1,10,14,1,0,3,3,5,1,1,2
139,1,1,3,1,1,1,10,18,0,0,3,1,5,0,0,2
140,1,2,4,1,1,1,21,11,0,0,0,3,5,1,1,17
141,1,1,3,0,1,1,18,13,2,0,3,12,5,0,0,6
142,0,0,3,2,1,1,3,14,0,0,3,12,0,0,0,6
143,1,1,4,1,1,0,14,16,2,0,3,1,5,0,0,4
144,1,2,3,2,1,1,1,13,0,0,3,3,5,1,1,2
145,1,2,4,2,1,0,10,16,1,0,3,3,5,1,1,2
146,1,2,4,1,1,1,11,13,2,0,3,12,5,0,1,1
147,1,2,3,2,1,1,1,13,0,0,3,12,5,0,1,1
148,1,1,4,1,1,1,4,13,0,0,0,12,3,1,1,14
149,0,0,4,2,1,1,14,11,1,0,3,5,0,0,0,12
150,1,1,4,2,1,0,24,6,3,0,3,1,5,0,0,5
151,1,1,3,1,1,1,1,18,2,0,3,12,5,0,0,13
152,1,1,3,2,1,0,3,16,2,0,3,1,5,0,0,13
153,0,0,4,1,1,1,23,2,1,0,3,12,0,0,0,12
154,1,2,4,1,1,1,1,13,0,0,3,12,5,1,1,1
155,1,2,3,2,1,1,10,7,0,0,3,12,5,0,1,1
156,1,1,4,2,1,0,14,16,2,0,3,1,5,0,0,5
157,1,1,5,1,1,1,14,2,0,0,3,12,1,0,0,0
158,1,1,4,2,1,0,9,16,1,0,0,12,1,0,0,12
159,1,1,4,1,1,1,12,23,0,0,0,12,3,1,1,14
160,1,2,4,1,1,1,10,4,1,0,0,3,5,1,1,2
161,1,1,4,1,1,1,19,4,0,0,0,7,5,0,0,2
162,1,1,4,1,1,1,21,13,0,0,3,12,5,0,0,0
163,1,1,4,1,1,1,14,10,0,0,3,12,1,0,0,3
164,1,1,3,1,1,1,24,3,2,0,3,12,5,0,0,3
165,1,1,3,2,1,1,24,14,1,0,3,12,5,0,0,3
166,1,1,2,1,1,0,19,16,3,0,3,1,5,0,0,19
167,1,1,6,1,1,1,4,13,1,0,3,12,5,0,0,0
168,1,1,5,1,1,1,9,21,0,0,0,12,1,0,0,7
169,1,1,4,1,1,1,19,2,0,0,3,12,5,0,0,2
170,1,1,4,1,1,1,19,13,0,0,3,3,3,0,0,7
171,1,1,4,2,1,0,19,6,0,0,0,0,3,1,1,10
172,1,1,4,1,1,1,23,18,0,0,0,12,1,0,0,11
173,1,1,4,1,1,1,12,11,2,0,3,12,1,0,0,3
174,1,1,4,1,1,1,12,9,0,0,3,12,1,0,0,6
175,1,1,4,1,1,1,12,9,0,0,3,12,1,0,0,7
176,1,1,5,1,1,1,22,22,0,0,0,12,4,0,0,12
177,1,1,4,1,1,1,10,13,1,0,3,12,5,0,0,13
178,1,1,4,1,1,1,10,4,0,0,3,3,5,1,1,12
179,1,1,4,1,1,1,10,7,0,0,3,1,3,1,1,11
180,1,1,3,1,1,1,10,7,0,0,3,3,3,1,1,11
181,1,2,4,1,1,1,10,2,1,0,3,3,5,1,1,2
182,1,1,3,1,1,1,1,2,3,0,3,1,5,0,0,2
183,1,2,3,1,1,0,23,6,1,0,3,12,5,1,1,9
184,1,2,4,1,1,1,1,13,0,0,0,3,5,1,1,7
185,1,2,4,1,1,1,10,9,1,0,3,3,5,1,1,12
186,1,1,4,1,1,1,10,3,0,0,3,12,1,0,0,3
187,1,1,2,2,1,0,19,16,1,0,3,12,1,0,0,4
188,1,2,3,0,1,1,13,10,2,0,3,12,5,0,1,1
189,1,2,4,1,1,1,13,8,0,0,3,12,5,1,1,1
190,1,1,4,0,1,1,4,9,1,0,3,12,5,0,0,0
191,1,1,3,1,1,1,10,4,1,0,3,12,5,0,0,7
192,1,2,3,2,1,1,10,13,0,0,3,3,5,1,1,7
193,1,1,4,0,1,1,14,18,1,0,3,5,1,0,0,0
194,1,1,4,2,1,0,17,16,1,0,3,12,1,0,0,0
195,0,0,3,0,1,1,4,13,3,0,3,1,5,0,0,21
196,0,0,4,0,1,1,11,13,3,0,3,1,5,0,0,21
197,1,1,4,1,1,1,11,13,0,0,3,3,3,1,1,21
198,1,1,4,1,1,1,14,2,0,0,0,3,3,1,1,21
199,1,2,3,1,1,1,10,21,2,0,3,12,5,0,1,1
200,1,2,4,1,1,1,10,7,1,0,3,3,5,1,1,2
201,1,1,3,2,1,1,20,14,0,0,3,12,1,0,0,11
202,1,2,3,1,1,1,4,13,0,0,3,12,5,0,1,1
203,1,1,3,2,1,1,8,13,0,0,3,12,5,0,1,1
204,1,1,4,1,1,1,21,2,0,0,3,12,1,0,0,12
205,1,2,5,1,1,1,1,18,1,0,3,12,5,0,1,1
206,1,2,3,1,1,0,21,6,2,0,3,12,5,1,1,7
207,0,0,3,2,1,0,20,0,2,0,3,12,5,0,0,15
208,1,2,2,2,1,0,13,6,2,0,3,12,5,1,1,16
209,1,1,3,1,1,1,14,7,3,0,3,7,5,0,0,2
210,0,0,4,1,1,1,4,7,3,0,3,1,5,0,0,2
211,1,1,4,0,1,1,14,9,1,0,3,5,5,0,0,16
212,1,2,3,2,1,0,24,6,2,0,0,12,5,0,1,15
213,1,1,4,1,1,1,19,10,0,0,3,12,3,1,1,2
214,1,1,4,1,1,1,10,13,0,0,0,12,1,0,0,12
215,1,1,4,1,1,1,20,13,2,0,3,12,1,0,0,19
